Title,ID,Date of release,Genre,Cast,Crew-writers,Crew-director,Plot summary,IMDB Rating,IMDB Votes
Pushpaka Vimana,tt0251355,27 Nov 1987,"Comedy, Drama","Kamal Haasan, Amala Akkineni, Tinnu Anand",Singeetam Srinivasa Rao,Singeetam Srinivasa Rao,A silent movie about an unemployed young man.,8.6,"3,471"
Humsafar,tt2403201,24 Sep 2011,"Drama, Romance","Fawad Khan, Mahira Khan, Atiqa Odho",N/A,N/A,"Khirad and Ashar are a couple who are pressured into marriage due to the untimely death of Khirad's mother. However, Sara, Ashar's best friend, is heartbroken because she is in love with him.",8.9,"3,907"
Kyaa Kool Hai Hum,tt0456500,06 May 2005,"Comedy, Mystery","Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar","Sachin Yardi, Pankaj Trivedi",Sangeeth Sivan,Karan and Rahul are fashion designers and surives on food of others functions. But some twists and confusion changes their life.,6.1,"3,510"
Action Jackson,tt0094612,12 Feb 1988,"Action, Comedy, Crime","Carl Weathers, Craig T. Nelson, Vanity",Robert Reneau,Craig R. Baxley,Vengence drives a tough Detroit cop to stay on the trail of a power hungry auto magnate who's systematically eliminating his competition.,5.5,"11,127"
Manto,tt6923462,21 Sep 2018,"Biography, Drama","Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin",Nandita Das,Nandita Das,The film is a biographical account of writer Saadat Hasan Manto's life and is set in 1940s India.,7.3,"4,242"
Pataakha,tt8396128,28 Sep 2018,"Action, Comedy, Drama","Sanya Malhotra, Radhika Madan, Sunil Grover","Vishal Bhardwaj, Charan Singh Pathik",Vishal Bhardwaj,"Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.",7.2,"4,166"
Kabul Express,tt0770214,15 Dec 2006,"Adventure, Comedy, Drama","John Abraham, Arshad Warsi, Salman Shahid","Kabir Khan, Sandeep Shrivastava",Kabir Khan,A thrilling story spanning 48 hours of five individuals linked by hate and fear but brought together by fate to finally recognize each other.,6.8,"3,418"
Welcome to Sajjanpur,tt1221139,19 Sep 2008,"Comedy, Drama","Shreyas Talpade, Amrita Rao, Ravi Kishan","Ashok Mishra, Shyam Benegal",Shyam Benegal,"An educated man spends his days writing letters for the varied inhabitants of his small, poor, and illiterate village, in this political and social satire.",6.9,"3,243"
Tum Bin,tt6183362,01 Jan 2004,"Short, Musical","Gayatri Bahl, Jugal Hansraj",N/A,N/A,N/A,N/A,N/A
Chakravyuh,tt2292625,24 Oct 2012,"Action, Drama, Thriller","Arjun Rampal, Abhay Deol, Manoj Bajpayee","Prakash Jha, Sagar Pandya, Anjum Rajabali",Prakash Jha,"On the request of his friend Kabir, SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.",6.8,"3,220"
